doc_id	court_code	judgment_code	justice_kind	category_code	cause_num	adjudication_date	receipt_date	judge	doc_url	status	date_publ
86746627	1614	2	5	41051	534/1480/19	"2019-12-13 00:00:00+02"	"2020-01-02 00:00:00+02"	"Колотієвський О. О."	http://od.reyestr.court.gov.ua/files/43/35c94e5c1768f3ccd9296f040ee1a098.rtf	1	"2020-01-03 00:00:00+02"
86746623	1614	2	5	41010	536/1501/19	"2019-12-17 00:00:00+02"	"2020-01-02 00:00:00+02"	"Колотієвський О. О."	http://od.reyestr.court.gov.ua/files/43/093a0048b0e5b59b7c927d863bce98b3.rtf	1	"2020-01-03 00:00:00+02"
86743695	1270	5	4	40148	360/5495/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"О.В. Ірметова"	http://od.reyestr.court.gov.ua/files/43/17169e05cf8be6fdefc1c43385b73948.rtf	1	"2020-01-03 00:00:00+02"
86746131	1015	5	1	40346	369/16416/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Ковальчук Л. М."	http://od.reyestr.court.gov.ua/files/43/1d13170370a7264cd5f4b0e0aafa3542.rtf	1	"2020-01-03 00:00:00+02"
86743681	1270	5	4	40148	360/5493/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"С.В. Борзаниця"	http://od.reyestr.court.gov.ua/files/43/b411c608d130517116fd7fc9d271ee4f.rtf	1	"2020-01-03 00:00:00+02"
86743369	0870	5	4	40106	280/5329/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Сіпака Андрій Васильович"	http://od.reyestr.court.gov.ua/files/43/fbe46473d013b171cbc790db3d2d26c0.rtf	1	"2020-01-03 00:00:00+02"
86743382	0870	5	4	40114	280/6546/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Сіпака Андрій Васильович"	http://od.reyestr.court.gov.ua/files/43/db4f2d20ae55f105dfde5f30a85482c1.rtf	1	"2020-01-03 00:00:00+02"
86744924	0604	2	5	41256	295/18049/19	"2019-12-26 00:00:00+02"	"2020-01-02 00:00:00+02"	"Гулак Н. А."	http://od.reyestr.court.gov.ua/files/43/f19fe61782af11d6239b1786253250a8.rtf	1	"2020-01-03 00:00:00+02"
86740969	1012	5	4	5536	2-а-2006/11	"2011-03-14 00:00:00+02"	"2020-01-02 00:00:00+02"	"Тетервак Н. А."	http://od.reyestr.court.gov.ua/files/43/f708d8992845d3be0ce6c096fcc57f5b.rtf	1	"2020-01-03 00:00:00+02"
86745200	1003	5	2	40576	357/13919/19	"2019-12-18 00:00:00+02"	"2020-01-02 00:00:00+02"	"Гавенко О. Л."	http://od.reyestr.court.gov.ua/files/43/3e141476eca57cbffee8c1963ce71474.rtf	1	"2020-01-03 00:00:00+02"
86745699	1015	3	1	40377	757/1904/19-ц	"2019-11-15 00:00:00+02"	"2020-01-02 00:00:00+02"	"Пінкевич Н. С."	http://od.reyestr.court.gov.ua/files/43/b59846ab0c4968eead48188453628aa7.rtf	1	"2020-01-03 00:00:00+02"
86740968	1012	5	4	5536	2-а-1978/11	"2011-03-14 00:00:00+02"	"2020-01-02 00:00:00+02"	"Тетервак Н. А."	http://od.reyestr.court.gov.ua/files/43/9fc1984b6eceebcae713a7b48848cd57.rtf	1	"2020-01-03 00:00:00+02"
86743273	0670	5	4	40056	240/12529/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Гурін Дмитро Миколайович"	http://od.reyestr.court.gov.ua/files/43/30c0d802588c3b60b41ded02e446d461.rtf	1	"2020-01-03 00:00:00+02"
